id_unidad,clues,clave_presupuestal,nombre_corto,derechohabientes_primer_nivel,derechohabientes_segundo_nivel,derechohabientes_tercer_nivel
U_ISSSTE_116,CSIST000036,007-208-02,UMF Bochil,"7,404",No aplica,No aplica
U_ISSSTE_117,CSIST000053,007-208-03,UMF Cintalapa de Figueroa,"8,973",No aplica,No aplica
U_ISSSTE_118,CSIST000070,007-208-05,UMF Copainalá,"4,664",No aplica,No aplica
U_ISSSTE_119,CSIST000082,007-208-06,UMF Chiapa de Corzo,"10,613",No aplica,No aplica
U_ISSSTE_120,CSIST000111,007-208-08,UMF Jiquipilas,"2,674",No aplica,No aplica
U_ISSSTE_121,CSIST000152,007-208-09,UMF Ocozocoautla de Espinosa,"4,636",No aplica,No aplica
U_ISSSTE_122,CSIST000176,007-208-11,UMF Pichucalco,"8,112",No aplica,No aplica
U_ISSSTE_123,CSIST000222,007-208-16,UMF Tapilula,"2,382",No aplica,No aplica
U_ISSSTE_124,CSIST000234,007-208-17,UMF Tonalá,"10,599",No aplica,No aplica
U_ISSSTE_125,CSIST000304,007-208-18,CAF Venustiano Carranza,"3,253",No aplica,No aplica
U_ISSSTE_126,CSIST000263,007-208-20,UMF Villa Flores,"16,814",No aplica,No aplica
U_ISSSTE_127,CSIST000432,007-208-22,CMCT Palacio Federal (Tuxtla Gutiérrez),No disponible,No disponible,No disponible
U_ISSSTE_128,CSIST000444,007-208-23,CMCT SAGARPA,No disponible,No disponible,No disponible
U_ISSSTE_129,CSIST000456,007-208-24,CMCT Bienestar,No disponible,No disponible,No disponible
U_ISSSTE_130,CSIST000461,007-208-25,CMCT SECH (SEF),No disponible,No disponible,No disponible
U_ISSSTE_131,CSIST000321,007-208-26,CAF Reforma,"1,650",No aplica,No aplica
U_ISSSTE_132,CSIST000473,007-208-28,CAF UH. FOVISSSTE Paraíso,"1,460",No aplica,No aplica
U_ISSSTE_133,CSIST000420,007-208-30,CAF Simojovel,"1,831",No aplica,No aplica
U_ISSSTE_134,CSIST000362,007-208-32,CAF Berriozábal,"1,196",No aplica,No aplica
U_ISSSTE_135,CSIST000490,007-208-33,CAF Villa Corzo,"3,045",No aplica,No aplica
U_ISSSTE_136,CSIST000514,007-211-00,CH Palenque ,"16,641","44,865",No aplica
