id_unidad,clues,clave_presupuestal,nombre_corto,camas_censables_adultos_cirugia,camas_censables_adultos_medicina_interna,camas_censables_adultos_gineco_obstetricia,camas_censables_adultos_total,camas_censables_pediatria_camas,camas_censables_pediatria_cunas,camas_censables_pediatria_incubadoras,camas_censables_pediatria_total,camas_censables_total,camas_transito_urgencias_adultos,camas_transito_urgencias_pediatria,camas_transito_trabajo_de_parto,camas_transito_cuidados_intensivos,camas_transito_recuperacion,camas_transito_cunas,camas_transito_otras,camas_transito_total
U_ISSSTE_118,CSIST000070,007-208-05,UMF Copainalá,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_119,CSIST000082,007-208-06,UMF Chiapa de Corzo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_120,CSIST000111,007-208-08,UMF Jiquipilas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_121,CSIST000152,007-208-09,UMF Ocozocoautla de Espinosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_122,CSIST000176,007-208-11,UMF Pichucalco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
U_ISSSTE_123,CSIST000222,007-208-16,UMF Tapilula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_124,CSIST000234,007-208-17,UMF Tonalá,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_125,CSIST000304,007-208-18,CAF Venustiano Carranza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_126,CSIST000263,007-208-20,UMF Villa Flores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_127,CSIST000432,007-208-22,CMCT Palacio Federal (Tuxtla Gutiérrez),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_128,CSIST000444,007-208-23,CMCT SAGARPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_129,CSIST000456,007-208-24,CMCT Bienestar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_130,CSIST000461,007-208-25,CMCT SECH (SEF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_131,CSIST000321,007-208-26,CAF Reforma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_132,CSIST000473,007-208-28,CAF UH. FOVISSSTE Paraíso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_133,CSIST000420,007-208-30,CAF Simojovel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_134,CSIST000362,007-208-32,CAF Berriozábal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_135,CSIST000490,007-208-33,CAF Villa Corzo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_136,CSIST000514,007-211-00,CH Palenque ,4,4,4,12,1,2,0,3,15,4,2,1,2,2,2,0,13
U_ISSSTE_137,CHIST000030,008-204-00,"HG Presidente Gral. Lázaro Cárdenas, Chihuahua",38,33,7,78,9,1,0,10,88,9,1,3,6,5,1,11,36
U_ISSSTE_138,CHIST000310,008-204-01,CAF Dr. Belisario Domínguez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_139,CHIST000182,008-204-04,CAF Villa Aldama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_140,CHIST000153,008-204-08,UMF Ojinaga,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
U_ISSSTE_141,CHIST000112,008-205-00,HG Cd. Juárez,25,22,12,59,7,2,3,12,71,7,1,3,8,4,7,7,37
U_ISSSTE_142,CHIST000515,008-206-00,CH Cd. Delicias,4,8,5,17,4,1,1,6,23,8,4,4,0,7,3,12,38
U_ISSSTE_143,CHIST000095,008-207-00,CH Hidalgo del Parral,6,8,3,17,2,0,0,2,19,6,3,0,0,2,0,0,11
U_ISSSTE_144,CHIST000223,008-207-01,CAF Balleza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_145,CHIST000334,008-207-03,CAF Guadalupe y Calvo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_146,CHIST000066,008-207-04,UMF Guachochi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
