id_unidad,clues,clave_presupuestal,nombre_corto,personal_medico_general_familiar,personal_medico_gineco_obstetra,personal_medico_pediatra,personal_medico_odontologo,personal_medico_cirujano,personal_medico_internista,personal_medico_anestesiologo,personal_medico_geriatra,personal_medico_oncologos,personal_medico_traumatologia_y_ortopedia,personal_medico_otras_especialidades,personal_medico_otras_labores,personal_medico_etapa_aprendizaje_residentes,personal_medico_etapa_aprendizaje_internos,personal_medico_etapa_aprendizaje_pasantes,personal_medico_total,personal_enfermeria_general,personal_enfermeria_especialista,personal_enfermeria_auxiliar,personal_enfermeria_pasante,personal_enfermeria_total,personal_paramedico_laboratorista,personal_paramedico_rayos_x,personal_paramedico_quimicos,personal_paramedico_trabajo_social,personal_paramedico_otros,personal_paramedico_total,personal_administrativo,personal_servicios_generales,personal_total
U_ISSSTE_89,CLIST000263,005-220-06,CAF Ramos Arizpe,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_90,CLIST000082,005-220-07,UMF Parras de la Fuente,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,2,1,2,0,5,0,0,1,0,0,1,13,2,30
U_ISSSTE_91,CLIST000106,005-221-00,CMF Saltillo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
U_ISSSTE_92,CMIST000010,006-204-00,"CH Dr. Miguel Trejo Ochoa, Colima",30,10,7,5,13,7,7,1,1,5,17,14,0,0,0,117,80,22,22,0,124,8,5,5,0,11,29,75,46,391
U_ISSSTE_93,CMIST000046,006-204-01,CAF Armería,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_94,CMIST000051,006-204-02,CAF Minatitlán,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_95,CMIST000034,006-204-03,UMF Tecomán,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,2,0,0,0,0,0,0,3,0,9
U_ISSSTE_96,CMIST000022,006-205-00,CH Manzanillo,20,6,5,3,5,7,6,0,0,3,4,1,0,0,0,60,34,15,14,0,63,6,3,2,0,9,20,35,21,199
U_ISSSTE_97,CSIST000251,007-204-00,"HG Dr. Belisario Domínguez, Tuxtla Gutiérrez.",21,8,6,12,17,3,10,0,3,5,40,21,0,0,0,146,108,38,116,0,262,12,8,4,4,52,80,81,37,606
U_ISSSTE_98,CSIST000210,007-205-00,"CH Dr. Roberto Nettel F., Tapachula",22,2,4,2,5,4,4,0,0,3,7,2,0,0,0,55,24,12,30,0,66,4,5,4,1,12,26,66,28,241
U_ISSSTE_99,CSIST000041,007-205-01,UMF Cacahoatán,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2
U_ISSSTE_100,CSIST000205,007-205-02,UMF Cd. Hidalgo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_101,CSIST000106,007-205-03,UMF Huixtla,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,2,0,5
U_ISSSTE_102,CSIST000123,007-205-04,UMF Mapastepec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_103,CSIST000135,007-205-05,UMF Motozintla de Mendoza,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,5,0,5,0,0,0,0,0,0,7,0,16
U_ISSSTE_104,CSIST000012,007-205-06,UMF Acapetahua,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2
U_ISSSTE_105,CSIST000403,007-205-07,CAF Pijijiapan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_106,CSIST000193,007-206-00,CH San Cristóbal de las Casas,25,6,6,3,6,6,6,0,0,3,5,7,0,0,0,73,22,5,25,0,52,5,5,2,0,13,25,30,16,196
U_ISSSTE_107,CSIST000140,007-206-01,UMF Ocosingo,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,2,0,8,0,10,0,1,0,0,0,1,1,1,20
U_ISSSTE_108,CSIST000275,007-206-03,UMF Yajalón,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,5,0,5,0,0,0,0,0,0,0,0,14
U_ISSSTE_109,CSIST000181,007-206-04,UMF Salto de Agua,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2
