id_unidad,clues,clave_presupuestal,nombre_corto,servicio_medicina_general,servicio_gineco_obstetria,servicio_pediatria,servicio_geriatria,servicio_oncologia,servicio_traumatologia_ortopedia,servicio_odontologia,servicio_urgencias,servicio_hemodialisis,servicio_hemodinamia,servicio_quimioterapia,servicio_banco_sangre,servicio_rayos_x,servicio_quirofano,servicio_farmacia
U_ISSSTE_835,TCIST000162,027-206-10,UMF Teapa,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí
U_ISSSTE_836,TCIST000174,027-206-11,UMF Tenosique de Pino Suárez,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí
U_ISSSTE_837,TCIST000046,027-206-12,UMF Villa Benito Juárez (Cárdenas),Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_838,TCIST000133,027-206-13,CAF Nacajuca,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí
U_ISSSTE_839,TCIST000150,027-206-15,UMF Tacotalpa,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,Sí
U_ISSSTE_840,TCIST000244,027-206-17,CAF Jalapa,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_841,TCIST000022,027-206-18,UMF El Triunfo,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_842,TCIST000256,027-206-19,CAF Jonuta,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_843,TCIST000261,027-206-20,CAF Villa Benito Juárez (Macuspana),Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_844,TCIST000215,027-206-22,CAF Tamulté de Las Sábanas,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_845,TSIST000153,028-204-00,CH Cd. Victoria,No,Sí,Sí,No,No,Sí,No,Sí,Sí,No,No,Sí,Sí,Sí,Sí
U_ISSSTE_846,TSIST000013,028-204-01,UMF Abasolo,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_847,TSIST000310,028-204-02,CAF El Barretal,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_848,TSIST000252,028-204-03,UMF Jaumave,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_849,TSIST000264,028-204-04,CAF Santander Jiménez,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí
U_ISSSTE_850,TSIST000240,028-204-05,CAF Hidalgo,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_851,TSIST000042,028-204-06,UMF Llera de Canales,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí
U_ISSSTE_852,TSIST000305,028-204-08,CAF Padilla,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí
U_ISSSTE_853,TSIST000322,028-204-09,CAF Tula,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_854,TSIST000334,028-204-10,CAF Villagrán,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_855,TSIST000124,028-204-12,CAF Soto La Marina,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_856,TSIST000100,028-206-00,"CH Dr. Baudelio Villanueva, Reynosa",Sí,Sí,Sí,No,No,Sí,Sí,Sí,Sí,No,No,No,Sí,Sí,Sí
U_ISSSTE_857,TSIST000025,028-206-01,UMF Cd. Camargo,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_858,TSIST000235,028-206-02,CAF Cd. Gustavo Díaz Ordaz,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_859,TSIST000083,028-206-04,UMF Cd. Miguel Alemán,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_860,TSIST000281,028-206-05,CAF Cd. Mier,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_861,TSIST000071,028-207-00,"CH Dr. Manuel F. Rodriguez, Matamoros",Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,No,No,Sí,Sí,Sí,Sí
U_ISSSTE_862,TSIST000276,028-207-01,CAF Control,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí
U_ISSSTE_863,TSIST000141,028-207-02,UMF Valle Hermoso,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí
U_ISSSTE_864,TSIST000112,028-207-03,UMF San Fernando,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_865,TSIST000095,028-208-00,"CH Agosto 12, Nuevo Laredo",Sí,Sí,Sí,No,No,Sí,Sí,Sí,No,No,No,Sí,Sí,Sí,Sí
U_ISSSTE_866,TSIST000223,028-208-01,CAF Nueva Cd. Guerrero,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_867,TSIST000170,028-209-00,CH Río Bravo,Sí,Sí,Sí,No,No,Sí,Sí,Sí,No,No,No,No,Sí,Sí,Sí
U_ISSSTE_868,TSIST000054,028-210-00,CH Cd. Mante,Sí,Sí,Sí,No,No,Sí,Sí,Sí,No,No,No,No,Sí,Sí,Sí
U_ISSSTE_869,TSIST000066,028-210-01,UMF Los Aztecas,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_870,TSIST000293,028-210-02,UMF Ocampo,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_871,TSIST000030,028-210-03,UMF Villa González,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_872,TSIST000165,028-210-04,UMF Villa Xicoténcatl,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_873,TSIST000136,028-211-00,CMFEQ Tampico,Sí,No,No,No,No,No,Sí,No,No,No,No,No,Sí,Sí,Sí
U_ISSSTE_874,TSIST000194,028-211-01,CAF Villa Aldama,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_875,TSIST000211,028-211-02,CAF UHF. Las Arboledas,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí
U_ISSSTE_876,TSIST000206,028-211-03,UMF Altamira,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_877,TSIST000345,028-214-00,CMF Cd. Victoria,Sí,No,No,No,No,No,Sí,No,No,No,No,No,Sí,No,Sí
U_ISSSTE_878,TSIST000363,028-215-00,HG Tampico,No,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí
U_ISSSTE_879,TLIST000042,029-204-00,HG Tlaxcala,No,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,No,No,Sí,Sí,Sí,Sí
U_ISSSTE_880,TLIST000013,029-204-01,UMF Apizaco,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,Sí
U_ISSSTE_881,TLIST000025,029-204-02,UMF Calpulalpan,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,Sí
U_ISSSTE_882,TLIST000030,029-204-03,UMF Huamantla,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,Sí
U_ISSSTE_883,TLIST000054,029-204-04,UMF Zacatelco,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,Sí
U_ISSSTE_884,TLIST000066,029-205-00,CMF Tlaxcala,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,Sí
U_ISSSTE_885,VZIST000120,030-204-00,CH Xalapa,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,No,Sí,Sí,Sí,Sí
U_ISSSTE_886,VZIST000050,030-204-01,UMF Coatepec,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_887,VZIST000202,030-204-02,UMF Perote,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_888,VZIST000470,030-204-03,CAF Rinconada,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_889,VZIST000593,030-204-04,CAF Xico,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_890,VZIST000540,030-204-06,CAF Inmecafé,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_891,VZIST000552,030-204-07,CAF UH. FOVISSSTE No. 2 Xalapa,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_892,VZIST000564,030-204-08,CMCT Secretaría de Educación del Estado de Veracruz-SEP,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_893,VZIST000576,030-204-09,CMCT SNTE (Veracruz),Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_894,VZIST000330,030-204-10,CAF Altotonga,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_895,VZIST000354,030-204-11,CAF Atzalan,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_896,VZIST000424,030-206-00,CMFEQ Córdoba,Sí,Sí,Sí,No,No,No,Sí,Sí,No,No,No,No,No,Sí,Sí
U_ISSSTE_897,VZIST000506,030-206-01,UMF Huatusco de Chicuéllar,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí
U_ISSSTE_898,VZIST000733,030-206-02,CAF Tezonapa,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_899,VZIST000663,030-206-04,CAF Paso del Macho,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_900,VZIST000272,030-206-05,UMF Tierra Blanca,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,Sí
U_ISSSTE_901,VZIST000173,030-207-00,CH Orizaba,Sí,Sí,Sí,No,No,Sí,Sí,No,No,No,No,Sí,Sí,Sí,Sí
U_ISSSTE_902,VZIST000313,030-207-02,UMF Zongolica,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No
U_ISSSTE_903,VZIST000296,030-208-00,CH Tuxpan,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,No,No,Sí,Sí,Sí
U_ISSSTE_904,VZIST000716,030-208-01,CAF Tamiahua,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_905,VZIST000774,030-208-02,CAF UH. FOVISSSTE No. 1 Tuxpan,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_906,VZIST000255,030-208-03,UMF Tantoyuca,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí
U_ISSSTE_907,VZIST000366,030-208-04,CAF Benito Juárez,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_908,VZIST000091,030-208-05,UMF Chicontepec de Tejeda,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_909,VZIST000675,030-208-06,CAF Platón Sánchez,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_910,VZIST000721,030-208-07,CAF Tempoal de Sánchez,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_911,VZIST000045,030-208-08,UMF Cerro Azul,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí
U_ISSSTE_912,VZIST000864,030-208-09,UMF Naranjos,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,Sí
U_ISSSTE_913,VZIST000646,030-208-10,CAF Ozuluama,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_914,VZIST000185,030-208-11,UMF Pánuco,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,Sí
U_ISSSTE_915,VZIST000844,030-208-12,CAF El Higo,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_916,VZIST000680,030-208-13,CAF Cd. Cuauhtémoc,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_917,VZIST000226,030-209-00,CH Poza Rica de Hidalgo,Sí,Sí,Sí,No,No,Sí,Sí,Sí,No,No,No,No,Sí,Sí,Sí
U_ISSSTE_918,VZIST000651,030-209-01,UMF Álamo,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
