id_unidad,clues,clave_presupuestal,situacion_juridica_inmueble,estatus_operativo,nombre_oficial,nombre_corto,nombre_unidad,tipo_unidad,sigla_tipo,nivel_atencion,atiende_nivel_adicional,institucion,entidad,municipio,subdelegacion,tipo_vialidad,nombre_vialidad,numero_exterior,numero_interior,tipo_asentamiento,nombre_asentamiento,codigo_postal,direccion_completa,latitud,longitud,coordenadas_validadas,fuente_coordenada,Observaciones
U_ISSSTE_32,BSIST000026,003-205-06,Propia,En Operación,Unidad de Medicina Familiar Villa Insurgentes,UMF Villa Insurgentes,Villa Insurgentes,Unidad de Medicina Familiar,UMF,Primer Nivel,No Aplica,ISSSTE,Baja California Sur,Comondú,Baja California Sur,Avenida,Morelos,S/N,,Colonia,Libertad,23700,"Avenida Morelos S/N, Colonia Libertad, Comondú, Baja California Sur, CP. 23700",25.26476978749787,-111.78310883071353,Validada,Anuario Estadístico 2025,
U_ISSSTE_33,BSIST000154,003-205-07,Subrogada,En Operación,Consultorio de Atención Familiar Ignacio Zaragoza,CAF Ignacio Zaragoza,Ignacio Zaragoza,Consultorio de Atención Familiar,CAF,Primer Nivel,No Aplica,ISSSTE,Baja California Sur,Comondú,Baja California Sur,Carretera,Federal 1-53,S/N,,Villa,Ignacio Zaragoza,23715,"Carretera Federal 1-53 S/N, Villa Ignacio Zaragoza, Comondú, Baja California Sur, CP. 23715",25.398485671185444,-111.84311044484623,Solicitar Validación,Anuario Estadístico 2025,Las coordenadas llevan a un IMSS Bienestar
U_ISSSTE_34,BSIST000043,003-206-00,Propia,En Operación,Clínica Hospital Santa Rosalía,CH Santa Rosalía,Santa Rosalía,Clínica Hospital,CH,Segundo Nivel,Primer Nivel,ISSSTE,Baja California Sur,Mulegé,Baja California Sur,Calle,Adán G. Velarde,98,,Colonia,Magisterial,23920,"Calle Adán G. Velarde 98, Colonia Magisterial, Mulegé, Baja California Sur, CP. 23920",27.346273072249506,-112.27422954992296,Validada,Anuario Estadístico 2025,
U_ISSSTE_35,BSIST000171,003-206-01,Convenio,En Operación,Consultorio de Atención Familiar Bahía Asunción,CAF Bahía Asunción,Bahía Asunción,Consultorio de Atención Familiar,CAF,Primer Nivel,No Aplica,ISSSTE,Baja California Sur,Mulegé,Baja California Sur,Avenida,Rosaura Zapata,S/N,,Localidad,Bahía Asunción,23960,"Avenida Rosaura Zapata S/N, Localidad Bahía Asunción, Mulegé, Baja California Sur, CP. 23960",27.128560591519967,-114.29539651231211,Validada,Anuario Estadístico 2025,
U_ISSSTE_36,BSIST000183,003-206-02,Subrogada,En Operación,Consultorio de Atención Familiar Bahía Tortugas,CAF Bahía Tortugas,Bahía Tortugas,Consultorio de Atención Familiar,CAF,Primer Nivel,No Aplica,ISSSTE,Baja California Sur,Mulegé,Baja California Sur,Calle,Río Jordán,676,,Colonia,Seguro Social,23950,"Calle Río Jordán 676, Colonia Seguro Social, Mulegé, Baja California Sur, CP. 23950",27.6921045863332,-114.89854537590429,Solicitar Validación,Anuario Estadístico 2025,Las coordenadas llevan a un IMSS Bienestar
U_ISSSTE_37,BSIST000055,003-206-03,Propia,En Operación,Unidad de Medicina Familiar Guerrero Negro,UMF Guerrero Negro,Guerrero Negro,Unidad de Medicina Familiar,UMF,Primer Nivel,No Aplica,ISSSTE,Baja California Sur,Mulegé,Baja California Sur,Calle,Sebastián Vizcaíno,451,,Unidad,FOVISSSTE,23940,"Calle Sebastián Vizcaíno 451, Unidad FOVISSSTE, Mulegé, Baja California Sur, CP. 23940",27.975198777399683,-114.02846175767245,Validada,Anuario Estadístico 2025,
U_ISSSTE_38,BSIST000195,003-206-04,Subrogada,En Operación,Consultorio de Atención Familiar Mulegé,CAF Mulegé,Mulegé,Consultorio de Atención Familiar,CAF,Primer Nivel,No Aplica,ISSSTE,Baja California Sur,Mulegé,Baja California Sur,Calle,Francisco I. Madero,S/N,,Colonia,Centro,23900,"Calle Francisco I. Madero S/N, Colonia Centro, Mulegé, Baja California Sur, CP. 23900",26.891356997154347,-111.98149413843682,Solicitar Validación,Anuario Estadístico 2025,Las coordenadas llevan a un IMSS Bienestar
U_ISSSTE_39,BSIST000200,003-206-05,Convenio,En Operación,Consultorio de Atención Familiar Punta Abreojos,CAF Punta Abreojos,Punta Abreojos,Consultorio de Atención Familiar,CAF,Primer Nivel,No Aplica,ISSSTE,Baja California Sur,Mulegé,Baja California Sur,Calle,Benito Juárez,SN,,Pueblo,Punta Abreojos,23970,"Calle Benito Juárez SN, Pueblo Punta Abreojos, Mulegé, Baja California Sur, CP. 23970",26.711441131697473,-113.57567546123002,Solicitar Validación,Anuario Estadístico 2025,Las coordenadas llevan a un IMSS
U_ISSSTE_40,BSIST000212,003-206-06,Rentada,En Operación,Consultorio de Atención Familiar San Ignacio,CAF San Ignacio,San Ignacio,Consultorio de Atención Familiar,CAF,Primer Nivel,No Aplica,ISSSTE,Baja California Sur,Mulegé,Baja California Sur,Calle,Independencia,S/N,,Localidad,San Ignacio,23930,"Calle Independencia S/N, Localidad San Ignacio, Mulegé, Baja California Sur, CP. 23930",27.280564533996174,-112.89673231337154,Solicitar Validación,Anuario Estadístico 2025,Las coordenadas llevan a un IMSS Bienestar
U_ISSSTE_41,BSIST000060,003-206-07,Propia,En Operación,Unidad de Medicina Familiar Sebastián Vizcaíno,UMF Sebastián Vizcaíno,Sebastián Vizcaíno,Unidad de Medicina Familiar,UMF,Primer Nivel,No Aplica,ISSSTE,Baja California Sur,Mulegé,Baja California Sur,Calle,Benito Juárez,S/N,,Colonia,El Marasal,23938,"Calle Benito Juárez S/N, Colonia El Marasal, Mulegé, Baja California Sur, CP. 23938",27.64448839512183,-113.38954207359123,Validada,Anuario Estadístico 2025,
U_ISSSTE_42,BSIST000330,003-207-00,Propia,En Operación,Hospital General La Paz,HG La Paz,La Paz,Hospital General,HG,Segundo Nivel,No Aplica,ISSSTE,Baja California Sur,La Paz,Baja California Sur,Calle,Mar Caribe,S/N,,Colonia,El Conchalito,23090,"Calle Mar Caribe S/N, Colonia El Conchalito, La Paz, Baja California Sur, CP. 23090",24.13792178702935,-110.34130174789001,Validada,Anuario Estadístico 2025,
U_ISSSTE_43,BSIST000270,003-207-02,Subrogada,En Operación,Consultorio de Atención Familiar El Pescadero,CAF El Pescadero,El Pescadero,Consultorio de Atención Familiar,CAF,Primer Nivel,No Aplica,ISSSTE,Baja California Sur,La Paz,Baja California Sur,Calle,La Paz,S/N,,Pueblo,El Pescadero,23300,"Calle La Paz S/N, Pueblo El Pescadero, La Paz, Baja California Sur, CP. 23300",23.36514637052447,-110.16703014184347,Solicitar Validación,Anuario Estadístico 2025,Google Maps no disponible en la zona
